1	FALSE	http://en.wikipedia.org/wiki/100th_meridian_west	100th meridian	100th_meridian_west	These feeder lines were supposed to meet the Union Pacific main line somewhere around the 100th meridian west in central Nebraska , and the feeder lines were to get the same land grant incentives as the Union Pacific .
1	TRUE	http://en.wikipedia.org/wiki/100th_meridian_west	100th meridian west	100th_meridian_west	These feeder lines were supposed to meet the Union Pacific main line somewhere around the 100th meridian west in central Nebraska , and the feeder lines were to get the same land grant incentives as the Union Pacific .
1	FALSE	http://en.wikipedia.org/wiki/16th_arrondissement_of_Paris	16tharrondissement	16th_arrondissement_of_Paris	Passy is an area of Paris , France , located in the 16th arrondissement , on the Right Bank .
1	TRUE	http://en.wikipedia.org/wiki/1838_Mormon_War	1838MormonWar	1838_Mormon_War	Many contemporaries and later historians cite the July 4th Oration as a contributing factor to the 1838 Mormon War .
1	TRUE	http://en.wikipedia.org/wiki/1917_Rose_Bowl	1917 Rose Bowl	1917_Rose_Bowl	Bell played football at the University of Pennsylvania , where as quarterback , he led his team to an appearance in the 1917 Rose Bowl .
1	TRUE	http://en.wikipedia.org/wiki/1917_Rose_Bowl	1917 Rose Bowl	1917_Rose_Bowl	However , the Quakers secured an invitation to the 1917 Rose Bowl against the Oregon Ducks .
1	TRUE	http://en.wikipedia.org/wiki/1933_Philadelphia_Eagles_season	1933PhiladelphiaEaglesseason	1933_Philadelphia_Eagles_season	After the inaugural 1933 Philadelphia Eagles season , Bell married Upton at St. Madeleine Sophie Roman Catholic Church in Philadelphia .
1	FALSE	http://en.wikipedia.org/wiki/1938_NFL_season	1938	1938_NFL_season	In the Eagles' first profitable season , 1938 , they posted a 5–6 record .
0	FALSE	http://en.wikipedia.org/wiki/1949_Philadelphia_Eagles_season	1949championEagles	1949_Philadelphia_Eagles_season	Seeking to capitalize on the publicity of the residual rivalry , he utilized " exquisite dramatic " and business sense and allocated the 1950 opening game to a contest between the 1949 champion Eagles versus the perennial AAFC champion Browns .
1	FALSE	http://en.wikipedia.org/wiki/1958_NFL_Championship_Game	Greatest Game Ever Played	1958_NFL_Championship_Game	He survived to oversee the " Greatest Game Ever Played " and to envision what the league would become in the future .
0	FALSE	http://en.wikipedia.org/wiki/1972_Summer_Olympics	Munich	1972_Summer_Olympics	Her best senior solo result was finishing 4th in the 200m final at the 2002 European Athletics Championships in Munich .
0	FALSE	http://en.wikipedia.org/wiki/1982_British_Army_Gazelle_friendly_fire_incident	BritishArmyhelicopter	1982_British_Army_Gazelle_friendly_fire_incident	The missiles destroyed the aircraft , which was in fact a British Army helicopter .
0	FALSE	http://en.wikipedia.org/wiki/1999_Pakistani_coup_d'état	October12,1999	1999_Pakistani_coup_d'état	Soundsystem is the fifth studio album by 311 , released on October 12 , 1999 .
1	TRUE	http://en.wikipedia.org/wiki/2002_European_Athletics_Championships	2002 European Athletics Championships	2002_European_Athletics_Championships	Her best senior solo result was finishing 4th in the 200m final at the 2002 European Athletics Championships in Munich .
0	FALSE	http://en.wikipedia.org/wiki/2004_Summer_Olympics	Athens	2004_Summer_Olympics	Sylviane Felix ( born 31 October 1977 , in Créteil , France ) is a track and field sprint athlete , competing internationally for France , who won the bronze medal in the 4x100m relay at the 2004 Olympic Games in Athens , Greece .
1	FALSE	http://en.wikipedia.org/wiki/2004_Summer_Olympics	2004OlympicGames	2004_Summer_Olympics	Sylviane Felix ( born 31 October 1977 , in Créteil , France ) is a track and field sprint athlete , competing internationally for France , who won the bronze medal in the 4x100m relay at the 2004 Olympic Games in Athens, Greece .
1	FALSE	http://en.wikipedia.org/wiki/2004_Summer_Olympics	2004OlympicGamesinAthens,Greece	2004_Summer_Olympics	Sylviane Felix ( born 31 October 1977 , in Créteil , France ) is a track and field sprint athlete , competing internationally for France , who won the bronze medal in the 4x100m relay at the 2004 Olympic Games in Athens , Greece .
1	TRUE	http://en.wikipedia.org/wiki/20th_Century_Fox	20thCenturyFox	20th_Century_Fox	20th Century Fox , Walden , and the C. S. Lewis Estate finally decided that " The Magician 's Nephew " would be the basis for the next movie following the release of the 2010 film " The Voyage of the Dawn Treader " .
1	TRUE	http://en.wikipedia.org/wiki/236_Honoria	236Honoria	236_Honoria	236 Honoria is a large main belt asteroid that was discovered by Austrian astronomer Johann Palisa on April 26 , 1884 in Vienna .
1	FALSE	http://en.wikipedia.org/wiki/311_(band)	311	311_(band)	Soundsystem is the fifth studio album by 311 , released on October 12 , 1999 .
1	TRUE	http://en.wikipedia.org/wiki/37th_United_States_Congress	37th United States Congress	37th_United_States_Congress	In addition to the railroad land grants which the railroads sold at low cost to help pay back their government backed bonds ( all were repaid ) the 37th United States Congress ( 1861-1863 ) passed the Homestead Acts which were several United States federal laws that sold an applicant of unclaimed government owned land , typically called a " homestead " , at low cost when the applicant did some prescribed work on it .
1	FALSE	http://en.wikipedia.org/wiki/48_Hours_(TV_series)	48Hours	48_Hours_(TV_series)	CBS News' broadcasts include the " CBS Evening News " , " CBS This Morning " , news magazine programs " CBS Sunday Morning " , " 60 Minutes " and " 48 Hours " , and Sunday morning political affairs program " Face the Nation " .
1	TRUE	http://en.wikipedia.org/wiki/50_Cent	50Cent	50_Cent	Other prominent Nigerian hip-hop musicians include Ruggedman , former member of The Remedies Eedris Abdulkareem ( who had a well-publicised spat with the American star 50 Cent ) , Weird MC , Naeto C , Twin-X , Young Paperboyz , Jay 'Ikwan a.k.a .
1	FALSE	http://en.wikipedia.org/wiki/50_State_Quarters	state quarter	50_State_Quarters	On May 10 , 2006 , on the anniversary of the driving of the spike , Utah announced that its state quarter design would be a representation of the driving of the Last ( Golden ) Spike .
1	TRUE	http://en.wikipedia.org/wiki/60_Minutes	60Minutes	60_Minutes	60 Minutes is currently broadcast on CNN Philippines ( formerly Talktv Solar News Channel and 9TV ) as part of their " Stories " block , which including documentaries and is broadcast on Wednesday at 8:00 p.m . before CNN Philippines Nightly News with replays on Saturdays at 8:00 a.m .
1	TRUE	http://en.wikipedia.org/wiki/60_Minutes	60Minutes	60_Minutes	CBS News' broadcasts include the " CBS Evening News " , " CBS This Morning " , news magazine programs " CBS Sunday Morning " , " 60 Minutes " and " 48 Hours " , and Sunday morning political affairs program " Face the Nation " .
1	TRUE	http://en.wikipedia.org/wiki/9TV	9TV	9TV	60 Minutes is currently broadcast on CNN Philippines ( formerly Talktv Solar News Channel and 9TV ) as part of their " Stories " block , which including documentaries and is broadcast on Wednesday at 8:00 p.m . before CNN Philippines Nightly News with replays on Saturdays at 8:00 a.m .
1	TRUE	http://en.wikipedia.org/wiki/A_Man_of_Destiny	AManofDestiny	A_Man_of_Destiny	Graham Masterton 's 1981 novel " A Man of Destiny " ( published in the UK as " Railroad " ) is a fictionalised account of the line 's construction .
1	TRUE	http://en.wikipedia.org/wiki/A-Q	A-Q	A-Q	Some underground rappers , such as A-Q and X.O Senavoe have also started to receive more attention for their songs .
